rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,e-value-kingdom,e-value-phylum,e-value-class,e-value-order,e-value-family,e-value-genus,per-ident-genus,per-ident-species
genus,Fungi,Ascomycota,Leotiomycetes,Helotiales,Phaeohelotiaceae,Phaeohelotium,,,,,,,,0.96,
genus,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Bankiaceae,Phellodon,,,,,,,e-140,,
genus,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Bankiaceae,Bankera,,,,,,,e-140,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Rhizopogonaceae,Piloderma,,,,,,,e-130,,
genus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Pisolithaceae,Pisolithus,,,,,,,e-75,,
genus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Sclerodermataceae,Scleroderma,,,,,,,e-75,,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Porpoloma,,,,,,,,0.89,
genus,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Pseudotomentellaceae,Pseudotomentella,,,,,,,e-120,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Pulvinula,,,,,,,e-150,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Pustularia,,,,,,,e-160,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronemataceae,,,,,,e-155,,,
genus,Fungi,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Ramaria,,,,,,,e-120,,
genus,Fungi,Basidiomycota,Agaricomycetes,Gomphales,Gomphaceae,Gautieria,,,,,,,e-120,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Rhodoscypha,,,,,,,,0.85,
genus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,,,,,,,e-105,,
genus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,,,,,,,e-105,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcosphaeraceae,Sarcosphaera,,,,,,,,0.80,
genus,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,,,,,,,e-140,,
genus,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Serendipita,,,,,,,,0.95,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Sphaerosporella,,,,,,,e-140,,
genus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Suillaceae,Suillus,,,,,,,e-140,,
genus,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,,,,,,,e-140,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Tarzetta,,,,,,,e-160,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Terfeziaceae,Terfezia,,,,,,,e-115,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza,,,,,,,e-115,,
genus,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,,,,,,,e-145,,
genus,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,,,,,,,e-145,,
genus,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentellopsis,,,,,,,,0.87,
genus,Fungi,Basidiomycota,Agaricomycetes,Gomphales,Tremellodendropsidaceae,Tremellodendropsis,,,,,,,,0.89,
genus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,,,,,,,e-155,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,,,,,,,e-100,,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Helvellaceae,Helvella,,,,,,,e-100,,
genus,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Tulasnellaceae,Tulasnella,,,,,,,,0.92,
genus,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,,,,,,,e-170,,
,,,,,,,,,,,,,,,
