rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,e-value-kingdom,e-value-phylum,e-value-class,e-value-order,e-value-family,e-value-genus,per-ident-genus,per-ident-species
order,Fungi,Ascomycota,Protomycetales,,,,,,,,e-80,,,,
family,Fungi,Ascomycota,Protomycetales,,,,,,,,,e-70,,,
genus,Fungi,Ascomycota,Protomycetales,,,,,,,,,,,0.90,
species,Fungi,Ascomycota,Protomycetales,,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Alloascoideomycetes,,,,,,,,e-80,,,,
family,Fungi,Ascomycota,Alloascoideomycetes,,,,,,,,,e-70,,,
genus,Fungi,Ascomycota,Alloascoideomycetes,,,,,,,,,,,0.90,
species,Fungi,Ascomycota,Alloascoideomycetes,,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Dipodascomycetes,,,,,,,,e-80,,,,
family,Fungi,Ascomycota,Dipodascomycetes,,,,,,,,,e-70,,,
genus,Fungi,Ascomycota,Dipodascomycetes,,,,,,,,,,,0.90,
species,Fungi,Ascomycota,Dipodascomycetes,,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Lipomycetes,,,,,,,,e-80,,,,
family,Fungi,Ascomycota,Lipomycetes,,,,,,,,,e-70,,,
genus,Fungi,Ascomycota,Lipomycetes,,,,,,,,,,,0.90,
species,Fungi,Ascomycota,Lipomycetes,,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Pichiomycetes,,,,,,,,e-80,,,,
family,Fungi,Ascomycota,Pichiomycetes,,,,,,,,,e-70,,,
genus,Fungi,Ascomycota,Pichiomycetes,,,,,,,,,,,0.90,
species,Fungi,Ascomycota,Pichiomycetes,,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Saccharomycetes,,,,,,,,e-80,,,,
family,Fungi,Ascomycota,Saccharomycetes,,,,,,,,,e-70,,,
genus,Fungi,Ascomycota,Saccharomycetes,,,,,,,,,,,0.90,
species,Fungi,Ascomycota,Saccharomycetes,,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Sporopachydermiomycetes,,,,,,,,e-80,,,,
family,Fungi,Ascomycota,Sporopachydermiomycetes,,,,,,,,,e-70,,,
genus,Fungi,Ascomycota,Sporopachydermiomycetes,,,,,,,,,,,0.90,
species,Fungi,Ascomycota,Sporopachydermiomycetes,,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Trigonopsidomycetes,,,,,,,,e-80,,,,
family,Fungi,Ascomycota,Trigonopsidomycetes,,,,,,,,,e-70,,,
genus,Fungi,Ascomycota,Trigonopsidomycetes,,,,,,,,,,,0.90,
species,Fungi,Ascomycota,Trigonopsidomycetes,,,,,,,,,,,,0.98
order,Fungi,Ascomycota,Leotiomycetes,,,,,,,,e-120,,,,
